김진태 지난 대선 선거범죄 인정되면 문 대통령 당선무효,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001324692,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=3752626
이원욱 야당이 곧 국민…지도부 빨리 찾아뵙겠다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004354091,http://news.mk.co.kr/newsRead.php?year=2019&no=309104
정자법 위반 박찬근 중구의원 벌금 80만 원,http://www.gocj.net/news/articleView.html?idxno=101374,http://www.gocj.net/news/articleView.html?idxno=101374
불 붙는 '대선 정당성' 공방…엇갈린 지지율 희비,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=422&aid=0000359853,http://www.yonhapnewstv.co.kr/MYH20190205001600038/?did=1825m
"'정자법 위반' 박찬근 대전중구의원, 벌금 80만원 선고",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002226588,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002535575&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
"검찰, '선거개입 의혹' 강신명·이철성 전 경찰청장 구속영장 청구",http://www.mediaus.co.kr/news/articleView.html?idxno=152384,http://www.mediaus.co.kr/news/articleView.html?idxno=152384
'정자법 위반' 박찬근 중구의원 벌금 80만원 선고,http://www.ccnnews.co.kr/news/articleView.html?idxno=146750,http://www.ccnnews.co.kr/news/articleView.html?idxno=146750
[특별인터뷰]기존 농정 틀 전환…모두 행복한 新 농정 토대 만들 터,http://www.farminsight.net/news/articleView.html?idxno=2237,http://www.farminsight.net/news/articleView.html?idxno=2237
"한국당 김경수·드루킹, 대선 후에도 댓글조작해 문재인 국정 지원",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0009093902,http://www.newsis.com/view/?id=NISX20190305_0000577118&cID=10301&pID=10300
김경수 공세 '대선불복' 아니라지만…문재인 겨냥하는 한국당,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=079&aid=0003192573,http://www.nocutnews.co.kr/news/5100746
